Kurdish Arabic,Kurdish Latini,English
زانین هێزە,zanîn hêze,Knowledge is power
کەسێ بێ کێماسی نینە,kesê bê kêmasî nîne,No one is perfect
هەر تشتەکی ئارمانجا خۆ هەیە,her tşitekî armanca xo heye,Everything has its purpose
چ جارا رادەست نەبە,çi cara radest nebe,Never give up
ژ بەرهەمێ وێ دێ نیاسی,ji berhemê wê dê niyasî,By their fruits you will know them
ڕاستبێژی باشترین رێ یە,rastbêjî başitirîn rê ye,Honesty is the best policy
یێ ل دوماهیێ بکەنیت دێ گەلەك کەنیت,yê li dumahiyê bikenît dê gelek kenît,He laughs best who laughs last
کارێ ئەڤرۆ بهێتەکرن بۆ سوباھی‌ نە هێلە,karê evro bihêtekirin bo sube ne hêle,Never put off till tomorrow what can be done today
باشترین شاهدی بۆ حەزژێکرنێ باوەریە,başitirîn şahdî bo ḧezjêkirinê bawerye,The best proof of love is trust
ھەمی رێ دچنە ئاشی,hemî rê di çine aşî,Every way goes to the mill
ژ خولییا دبن وەلی، و ژ وەلییا دبن خولی,"ji xolîya di bin welî, u ji welîya di bin xolî","From ashes will be the leader of a federation, from the leader of a federation will be ashes"
حەتا نیڤا دەستی رەش نە بیت، تاما دەڤی خوش نا بیت,"ḧeta nîva destî reş ne bît, tama devî xoş na bît","Until the middle of the hand is black, the taste of the mouth won't be good"
ئەز چییا، تو چییا، گولك ما بێ گییا,"ez çîya, tu çîya, golik ma bê gîya","I'm a mountain, You're a mountain, an ox remained without grass"
ھەر بەرەك ل جھێ خو بقەدرە,her berek li cihê xo bi qedre,Every rock in it's own place is respected
ھەكە عەجەلا بزنێ ھات، دێ نانێ شڤانێ خوت,"heke 'ecela biznê hat, dê nanê şivanê xot","If the end of a goat comes, it will eat the shepherd's bread"
دنیا بەر چ نا كەڤیت,dinya ber çi na kevît,The world because of something won't fall
ل دیف مەزھەری نە چە,li dîf mezherî ne çe,Don't follow appearances
ھەر تشتەك د واختێ خو دا,her tiştek di waxtê xo da,Every thing in it's own time
چ نینە، دێ دەرگەھەكێ دی بو تە ڤە بیت,"çi nîne, dê dergehekê dî bu te ve bît","It's nothing, another door will be open for you"
خودێ كەزانا دەتە بێ ددانا,xodê kezana dete bê didana,God gives kez to those without teeth
نە عەورێ گرگری و نە مێرێ ترتری,ne 'ewrê girgirî u ne mêrê tirtirî,No clouds make noise and no men fart
مروڤ بەس ب ئاخێ تێر دبیت,mirov bes bi axê têr di bît,People just by soil will be full
شام شەكرە بەلێ وەلات شرینترە,şam şekire belê welat şirîntire,Damascus is sugar but homeland is sweeter
دوو چیچكا ب بەرەكی,dû çîçika bi berekî,Two birds by one stone
ئەوێ دوماھیكێ دكەتە كەنی، گەلەك دكەتە كەنی,"ewê dumahîkê di kete kenî, gelek di kete kenî","He that laughs last, laughs a lot"
سە درەویت، كاروان ب رێكا خو دچیت,"se di rewît, karwan bi rêka xo di çît","The dog barks, the caravan goes on it's way"
كورێ بابێ خویە,kurê babê xoye,The son is the father
شولێ ئەڤروكە بو سوباھی نە ھێلە,şulê evruke bu subahî ne hêle,Today's work don't leave for tomorrow
ئەزمانێ درێژ داركوكێ سەرێ خودانییە,ezmanê dirêj darkukê serê xodanîye,The long tongue is his own head's woodpecker
ل سەركەفتنا مەغرور نە بن، و ل شكەستنا بێ ئومەد نە بن,"li serkeftina meẍror ne bin, u li şkestina bê 'omed ne bin","In victory don't be arrogant, and in brokenness don't be hopeless"
ئاڤ و دوھون تێكەل نا بن,av u dohun têkel na bin,Water and cholesterol don't mix
دەنگ ژ دەستەكێ بتنێ ناھێت,deng ji destekê bitinê nahêt,Noise doesn't come from only one hand
چ دكێل بێ ئاگر نینن,çi dikêl bê agir nînin,There's no smoke without fire
ل شینا شێڕا، ریڤی لێ دكەن گێرا,"li şîna şêrra, rîvî lê di ken gêra","Instead of the lion, the foxes travel around"
ئەوێ بچیتە ماسییا، دێ تەڕ بیت,"ewê bi çîte masîya, dê ter bît",He that goes fishing will be wet
دەنگێ دھولێ ژدیر ڤە یێ خوشە,dengê diholê ji dîr ve yê xoşe,The drum's sound from far away is good
ئاسەن ب ساری خار نا بیت,asen bi sarî xar na bît,Iron by cold won't be bent
دەرزیكێ د چاڤێ خەلكی دا بینن بەلێ گێسنی د چاڤێ خو دا نا بینن,derzîkê di çavê xelkî da bînin belê gêsinî di çavê xo da na bînin,"They see a pin in other people's eye, but they don't see a steamroller in their own eye"
شولكەرێ خو بە و خوشتەڤییێ خەلكی بە,şulkerê xo be u xoştevîyê xelkî be,Be a worker for yourself and be endearing for people
تشتێ ب ساناهی بهێت ب ساناهی دچیت,tşitê bi sanahî bihêt bi sanahî diçît,"Easy come, easy go"
هەمیا وژدانەکێ هەی,hemiya wijdanekê hey,Everyone has a conscience
هەر کەسەکێ تشتەکێ تایبەت هەیە,her kesekê tişitekê taybet heye,Every person has a unique ability
رەفتارێن کەڤن هێدی هێدی دمرن,reftarên kevin hêdî hêdî dimirin,Old habits die slowly
درەوین ژ دزیکەری خرابترە,direwîn ji dizîkerî xirabitire,A liar is worse than a thief
خوین ژ ئاڤێ تیرترە,xwîn ji avê tîrtire,Blood is thicker than water
مێژوو خۆ دووبارە دکەت,mêjû xo dûbare diket,‌History repeats itself
یێ ژبەر چاڤا دویر یێ ژهزرێ دویرە,yê jiber çava diwîr yê jihizirê diwîre,Out of sight out of mind
دەما روناهی وندا دبیت هەمی ژنك دجوانن,dema runahî winda dibît hemî jinik diciwanin,"When the light is out, all women are beautiful"
بەحسێ خۆ بکە,beḧsê xo bike,Speak for yourself
گەلەك دەست کاری سڤك دکەن,gelek dest karî sivik diken,Many hands make light work
گەلەك هزر ژ هزرا بتنێ باشترە,gelek hizir ji hizira bitinê başitire,Many heads are better than one
پێدڤیاتی دایکا داهێنانێ یە,pêdiviyatî dayka dahênanê ye,Necessity is the mother of invention
هێز د ئێك گرتنێ دایە,hêz di êk girtinê daye,Union is strength
خێر ژ مالێ دەستپێ دکەن,xêr ji malê destpê diken,Charity begins at home
