Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Accept,Past,I,I accepted,min  qebîl kir,من قەبیل كر
Accept,Past,You,You accepted,te  qebîl kir,تە قەبیل كر
Accept,Past,He/She,He/She accepted,ewî/ewê  qebîl kir,ئەوی/ئەوێ قەبیل كر
Accept,Past,We,We accepted,me  qebîl kir,مە قەبیل كر
Accept,Past,You (pl.),You accepted,hewe  qebîl kir,ھەوە قەبیل كر
Accept,Past,They,They accepted,ewan  qebîl kir,ئەوان قەبیل كر
Accept,Present,I,I accept,ez  qebîl di kem,ئەز قەبیل د كەم
Accept,Present,You,You accept,tu  qebîl di key,تو قەبیل د كەی
Accept,Present,He/She,He/She accepts,ew  qebîl di ket,ئەو قەبیل د كەت
Accept,Present,We,We accept,em  qebîl di keyn,ئەم قەبیل د كەین
Accept,Present,You (pl.),You accept,hîn  qebîl di ken,ھین قەبیل د كەن
Accept,Present,They,They accept,ew  qebîl di ken,ئەو قەبیل د كەن
Accept,Future,I,I will accept,ez dê  qebîl kem,ئەز دێ قەبیل كەم
Accept,Future,You,You will accept,tu dê  qebîl key,تو دێ قەبیل كەی
Accept,Future,He/She,He/She will accept,ew dê  qebîl ket,ئەو دێ قەبیل كەت
Accept,Future,We,We will accept,em dê  qebîl keyn,ئەم دێ قەبیل كەین
Accept,Future,You (pl.),You will accept,hîn dê  qebîl ken,ھین دێ قەبیل كەن
Accept,Future,They,They will accept,ew dê  qebîl ken,ئەو دێ قەبیل كەن
Accuse,Past,I,I accused, ez 'itîham kirim,ئەز ئتیھام كرم
Accuse,Past,You,You accused, tu 'itîham kirî,تو ئتیھام كری
Accuse,Past,He/She,He/She accused, ew 'itîham kir,ئەو ئتیھام كر
Accuse,Past,We,We accused, em 'itîham kirîn,ئەم ئتیھام كرین
Accuse,Past,You (pl.),You accused, hîn 'itîham kirin,ھین ئتیھام كرن
Accuse,Past,They,They accused, ew 'itîham kirin,ئەو ئتیھام كرن
