English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
B.C. (before 4000 BC),berî 4000 berê zayînî,بەری ٤٠٠٠ بەرێ زایینی,BC (قبل 4000 قبل الميلاد),beree 4000 berê zayeenee
RNA,avke tirşê rayiyuzî,ئاڤکە ترشێ راییوزی,RNA,avke turshê rayuyuzee
kurdish letter 02 (“a” sound),a,ئا,آ,a
kurdish letter 02 (“a” sound),a,ا,آ,a
sinner,gunehkar,گونەھكار,آثم,guneḧkar
another,êkedî,ئێکەدی,آخر,êkedee
another,dîtir,دیتر,آخر,deetur
last,paşîn,پاشین,آخر,berdewam duket
last,talîn,تالین,آخر,berdewam duket
last,dawîn,داوین,آخر,berdewam duket
last (v),berdewam kirin,بەردەوام کرن,آخر,berdewam duket
other,dî,دى,آخر,dee
sorry,efû kirin,ئه‌فوو کرن,آسف,efû krun
sorry,bibure,ببورە,آسف,bubure
sorry,bibore,ببۆره‌,آسف,bubore
sorry,lê borîn,لێ بۆرین,آسف,lê boreen
muscle pain,êşa 'ezelata,ئێشا عه‌زه‌لاتا,آلام في العضلات,êsha 'ezelata
machine,mekîne,مەكینە,آلة,mekeene
calculator,ḧasîbe,حاسیبە,آلة حاسبة,ḧaseebe
mechanism,mîkanîzim,میكانیزم,آلية,meekaneezum
safe,silamet,سلامەت,آمن,sulamet
verse,parçe,پارچە,آية,parche
kurdish letter 01 (no sound),no sound,ئـ,أ,no sound
dad,babo,بابۆ,أب,babo
primary,seretayî,سەرەتایى,أبتدائي,seretayee
cheer up,keyf xweş dibit,كەیف خوەش دبیت,أبتهج,keyf xwesh dubut
look for,lê bigere,لێ بگەرە,أبحث عن,"lê geran , lê bugere"
look for,lê geran,لێ گەران,أبحث عن,"lê geran , lê bugere"
never,tu carî,تو جاری,أبدا,qet ne
never,çi caran,چ جاران,أبدا,chu jaran
never,qet ne,قه‌ت نه‌,أبدا,qet ne
never,hîç car na,هیچ جار نا,أبدا,ḧeech jar na
eternal,ebedî,ئه‌به‌دی,أبدي,"ḧeruḧer, ebedee, ḧetaḧetayee"
eternal,hetahetayî,هه‌تاهه‌تایی,أبدي,"ḧeruḧer, ebedee, ḧetaḧetayee"
eternal,heruher,هه‌روهه‌ر,أبدي,"ḧeruḧer, ebedee, ḧetaḧetayee"
acquit,bêsûc,بێسووج,أبرئ,bêsûj
acquit,bêsûc derxistin,بێسووج ده‌رخستن,أبرئ,bêsûce derxustun
parish,deveradêrekê,دەڤەرادێرەكێ,أبرشية,deveradêrekê
drive away,verevandin,ڤه‌ره‌ڤاندن,أبعد,tursandun
dumb,lal,لال,أبكم,lal
pomp,debidebe,دەبدەبە,أبھة,debudebe
white,spî,سپی,أبيض,spee
I practice,ez rahênana dkem,ئەز راھێنانا دکەم,أتدرب,ez raḧênana dkem
look forward,pîşeng,پیشەنگ,أتطلّع لذلك,"chaverê , peesheng , luberaḧeekê"
look forward,çaverê,چاڤەرێ,أتطلّع لذلك,"chaverê , peesheng , luberaḧeekê"
look forward,liberahîkê,لبەراھیکێ,أتطلّع لذلك,"chaverê , peesheng , luberaḧeekê"
Have a nice day,demekê xuşî biburînî,دەمەکێ خوشی ببورینی,أتمنى لك نھارا سعيد,demekê xushee bubureenee
came,hat,ھات,أتى,ḧat
furniture,athath malê,ئاثاث مالێ,أثاث,atḧatḧ malê
furniture,raêxek,رائێخه‌ک,أثاث,raêxek
furniture,mobîliya,مۆبیلیا,أثاث,mobeeluya
agitate,şilqandin,شلقاندن,أثار,seesuruk
agitate,fît kirin,فیت کرن,أثار,seesuruk
agitate,hejandin,هه‌ژاندن,أثار,seesuruk
trace,rêç,ڕێچ,أثر,rêch
trace,şop,شۆپ,أثر,shop
during,li demê,ل دەمێ,أثناء,"lu demê , wextê"
during,wextê,وەختێ,أثناء,"lu demê , wextê"
commend,pesendkirin,په‌سه‌ندکرن,أثني,pesendkrun
Ethiopia,etîyopya,ئه‌تییۆپیا,أثيوبيا,destuk
foreigners,biyanîan,بیانیان,أجانب,buyaneean
fare,kirê,كرێ,أجرة,krê
alien,seyir,سەیر,أجنبي,seyur
foreign,biyanî,بیانی,أجنبي,buyanee
foreign,ẍerîb,خه‌ریب,أجنبي,buyanee
foreigner,ecnebî,ئەجنەبی,أجنبي,ejnebee
foreigner,biyanî,بیانى,أجنبي,"buyanee , ẍereeb"
foreigner,ẍerîb,غەریب,أجنبي,"buyanee , ẍereeb"
frustrate,bê tewş,بێ ته‌وش,أحبط,"bê tewsh ,  bê ḧeevee"
frustrate,bê hîvî,بێ هیڤی,أحبط,"bê tewsh ,  bê ḧeevee"
frustrate,sist,سست,أحبط,sust
frustrate,şaşkirin,شاشکرن,أحبط,sust
11,yazde,١١ ، یازدە,أحد عشر,yazde
eleven,yazde,یازدە,أحد عشر,yazde
latest news,nûtirîn nûçe,نووترین نووچە,أحدث الأخبار,nûtureen nûche
shoes,pêlav,پێلاڤ,أحذية,pêlav
shoes,şekal,شه‌کال,أحذية,shekal
innards,hinav,هناڤ,أحشاء,ḧunav
bring me,bo min bîne,بۆ من بینە,أحضر لي,bo mun beene
red,sor,سۆر,أحمر,sor
lipstick,sorav,سۆراڤ,أحمر الشفاھ,sorav
foolish,"bê hiş, bê aql, bê mejî",بێ هش، بێ ئاقل، بێ مەژی,أحمق,"bê ḧush, bê aql, bê mezhee"
foolish,pîç,پیچ,أحمق,peech
foolish,debeng,دەبەنگ,أحمق,debeng
occasionally,hindek dema,ھندەك دەما,أحيانا,ḧundek dema
brother,bra,برا,أخ,bra
stepbrother,kurrê zirbab,کوڕێ زرباب,أخ غير شقيق,krrê zurbab
good news,mizigînî,مزگینی,أخبار جيدة,muzugeenee
tell me,bêje min,بێژە من,أخبرنى,bêzhe mun
sister,xuşk,خوشک,أخت,xushk
sister,xîşk,خیشك,أخت,xeeshk
sister-in-law,diş,دش,أخت الزوج أو اخت الزوجة,dush
take,înan,ئینان,أخذ,eenan
take,bibe,ببە,أخذ,bube
take,birin,برن,أخذ,burun
take,girîtin,گریتن,أخذ,gureetun
take,werigirîtin,وەرگریتن,أخذ,werugureetun
took,werigirît,وەرگریت,أخذ,werugureet
take an x-ray,îşa'e standin,ئیشاعە ستاندن,أخذ الأشعة السينية,eesha'e standun
take out,"havêtin , pavêje , îna der",ھاڤێتن ، پاڤێژە ، ئینا دەر,أخرج,"ḧavêtun , pavêzhe , eena der"
get out (of the car),hatina xwarê,هاتنا خوارێ,أخرج من السيارة),ḧatuna xwarê
I get out here,"li vêrê min bîne xarê ,  di ême xar",ل ڤێرێ من بینە خارێ ،  د ێمە خار,أخرج ھنا,"lu vêrê mun beene xarê ,  du ême xar"
mute,lal,لال,أخرس,lal
fertilize,avis kirin,ئاڤس کرن,أخصب,avus krun
fertilize,zibil kirin,زبل کرن,أخصب,zubul krun
green,sewz,سه‌وز,أخضر,kesk
green,kesk,کەسک,أخضر,kesk
octopus,xitebut,ختەبوت,أخطبوط,xutebut
manners,rewşit,رەوشت,أخلاق,rewshut
manners,rewşita req,ڕە‌وشتا ڕە‌ق,أخلاق,rewshuta req
ethical,rewşitî,رەوشتى,أخلاقي,rewshutee
ethics,exlaq,ئه‌خلاق,أخلاقي,rewshut
ethics,rewişt,رەوشت,أخلاقي,rewshut
moral,exlaq,ئه‌خلاق,أخلاقي,rewshut
moral,rewişt,رەوشت,أخلاقي,rewshut
moral,sinç,سنچ,أخلاقي,sunch
ethic,etîk,ئه‌تیک,أخلاقيات,rewshut
morality,exlaq,ئه‌خلاق,أخلاقية,rewshut
morality,rewşit,رەوشت,أخلاقية,rewshut
morality,sinc,سنج,أخلاقية,rewshut
sibling,xwişk yan bira,خوشک یان برا,أخوان,xwushk yan bura
siblings,xwişk û bira,خوشک و برا,أخوة,xwushk û bura
finally,taliyê,تالیێ,أخيرا,taluyê
finally,dawyê,داویێ,أخيرا,dawyê
lastly,dumahî yê,دوماھى یێ,أخيرا,dumaḧee yê
performance,encamdan,ئه‌نجامدان,أداء,enjamdan
performance,bicihanîn,بجهانین,أداء,bujḧaneen
performance,pêkanîn,پێکانین,أداء,pêkaneen
gadget,amûr,ئاموور,أداة,amûr
gadget,halet,هاله‌ت,أداة,ḧalet
instrument,amîr,ئامیر,أداة,ameer
tool,amîret,ئامیرەت,أداة,ameeret
literature,wîje,ویژە,أدب,weezhe
literary,turî,تورى,أدبي,turee
insert,axinîn,ئاخنین,أدخل,axuneen
enter (computer),daxilkirin,داخلکرن,أدخل (كمبيوتر),daxulkrun
jungle,qeram,قەرام,أدغال,qeram
below,li bin,ل بن,أدناه,lu bun
below,li jêr,ل ژێر,أدناه,lu zhêr
lower,nizimtir,نزمتر,أدنى,nuzumtur
inferior,payenizm,پایه‌نزم,أدنى منزلة,payenuzm
inferior,pilenizim,پله‌نزم,أدنى منزلة,pulenuzum
inferior,kêmbiha,کێمبها,أدنى منزلة,payenuzm
low class,payenizm,پایه‌نزم,أدنى منزلة,payenuzm
low class,kêmbiha,کێمبها,أدنى منزلة,payenuzm
tools instruments,amiraz,ئامراز,أدوات الأدوات,amuraz
Azerbaijan,azerbaycan,ئازەربایجان,أذربيجان,azerbayjan
Azerbaijani,azerbaycanî,ئازەربایجانی,أذربيجان,azerbayjanee
see you,te bînim,تە بینم,أراك لاحقاً,te beenum
4,çar,٤ ، چار,أربعة,char
four,çar,چار,أربعة,char
14,çarde,١٤ ، چاردە,أربعة عشر,charde
fourteen,çarde,چاردە,أربعة عشرة,charde
40,çil,٤٠ ، چل,أربعون,chul
forty,çil,چل,أربعون,chul
embarrass,şerimzar,شە‌رمزار,أربك,sherumzar
get dressed,kirin ber xo,کرن بەر خۆ,أرتدي ملابسي,krun ber xo
put off,paş dêxt,پاش دئێخت,أرجأ,pash dêxt
lilac,şilêr,شلێر,أرجواني,shulêr
purple,mur,مور,أرجواني,mur
sent,hinarît,ھناریت,أرسلت,ḧunareet
earth,erd,ئەرد,أرض,erd
earth,erd,عەرد,أرض,erd
ground,erd,ئەرد,أرض,erd
land,erd,عەرد,أرض,erd
ground (for play),meydan,مه‌یدان,أرض (للعب),meydan
moor,zung,زونگ,أرض بور,zung
floor,qatê,قاتێ,أرضية,qatê
floor,hafir,ھافر,أرضية,ḧafur
enclose,pêçan,پێچان,أرفق,têde ḧevpêchkrun lu gel
enclose,têde hevpêçkirin li gel,تێدە ھەڤپێچكرن ل گەل,أرفق,têde ḧevpêchkrun lu gel
wakeful,hişiyar,ھشیار,أرق,ḧushuyar
rational numbers,jimareyên rêjeyî,ژمارەیێن رێژەیی,أرقام نسبية,zhumareyên rêzheyee
widow,bîjin,بیژن,أرملة,beezhun
widow,jinebî,ژنه‌بی,أرملة,zhunebee
Armenia,ermîniya,ئەرمینیا,أرمينيا,ermeenuya
Rabbit,kevirîşk,كەڤریشك,أرنب,kevureeshk
show me,nîşamin bide,نیشامن بدە,أرني,neeshamun bude
horrify,tirsandin,ترساندن,أرهب,tursandun
horrify,veciniqandin,ڤه‌جنقاندن,أرهب,vejnuqandun
I want to go back home,min divêt bzvrme mal,من دڤێت بزڤرمە مال,أريد أن أذھب إلى البيت,mun duvêt bzvrme mal
I want have University ID,min hewya zanikuyê divêt,من ھەویا زانکویێ دڤێت,أريد أن يكون الرقم الجامعي,mun ḧewya zanukyê duvêt
I want open the cap,min divêt qepaxî vekey,من دڤێت قەپاخی ڤەکەی,أريد فتح الغطاء,mun duvêt qepaxee vekey
couch,balîşne,بالیشنه‌,أريكة,baleeshne
couch,text,ته‌خت,أريكة,text
couch,qenepe,قه‌نه‌په‌,أريكة,qenepe
sofa,qenepe,قەنەپە,أريكة,qenepe
blue,şîn,شین,أزرق,sheen
crisis,qeyiran,قەیران,أزمة,qeyuran
financial crisis,qeyrana darayî,قەیرانا دارایی,أزمة مالية,qeyrana darayee
blossoms,kulîlkên,کولیلکێن,أزھار,kleelkên
misunderstand,xelet têdigehît,خەلەت تێدگەھیت,أساء الفهم,xelet têdugeḧeet
basis,esas,ئه‌ساس,أساس,esas
basis,bingeh,بنگه‌ھ,أساس,bungeḧ
basis,binema,بنه‌ما,أساس,bunema
essential,fer,فەر,أساسي,fer
essential,giring,گرنگ,أساسي,fer
essential,gewherî,گه‌وهه‌ری,أساسي,gewḧeree
week,isbu',ئسبوع,أسبوع,usbu'
week,hefte,هه‌فته‌,أسبوع,ḧefte
week,heftî,هه‌فتی,أسبوع,ḧeftee
weekly,hefteyî,هه‌فته‌یی,أسبوعي,ḧefteyee
professor,pirufîsur,پروفیسور,أستاذ,purufeesur
Australia,ustiralîya,ئوسترالیا,أستراليا,usturaleeya
ratio,"qelereşk , qir",قه‌له‌ره‌شک ، قر,أسحم,"qelereshk , qur"
lion,şêr,شێر,أسد,shêr
captivate,diguhişit,دگوھشت,أسر,duguḧushut
captivity,esîrkirin,ئه‌سیرکرن,أسر,eseerkrun
captivity,dîlî,دیلی,أسر,gurtun
captivity,girtin,گرتن,أسر,gurtun
captivity,girtîbûnî,گرتیبوونی,أسر,gurteebûnee
family,xêzan,خێزان,أسرة,xêzan
family,eyal,عەیال,أسرة,eyal
cylinder,lûlek,لوولەك,أسطوانة,lûlek
legend,efsane,ئەفسانە,أسطورة,efsane
legend,hiravî,ھراڤی,أسطورة,ḧuravee
myth,efsane,ئه‌فسانه‌,أسطورة,efsane
myth,ustûre,ئوستووره,أسطورة,ustûre
legendary,efsane,ئەفسانە,أسطوري,efsane
bottom,bin,بن,أسفل,bun
down,"li binî , xwar , jêr",ل بنی ، خوار ، ژێر,أسفل,"lu bunee , xwar , zhêr"
bishop,matirun,ماترون,أسقف,maturun
manner,awa,ئاوا,أسلوب,awa
manner,"şêwe‌, edet",شێوە‌، ئه‌دەت,أسلوب,"shêwe‌, edet"
style,şêwaz,شێواز,أسلوب,shêwaz
style,şêwe,شێوه‌,أسلوب,shêwe
teeth,didan,ددان,أسنان,dudan
worse,xirabtir,خرابتر,أسوأ,xurab
worse,ne başitir,نە باشتر,أسوأ,ne bashutur
worst,bedtirî,به‌دتری,أسوأ,xurabutur
worst,xirabtirîn,خرابترین,أسوأ,xurabutur
worst,herî xirab,هه‌ری خراب,أسوأ,xurabutur
black,reş,رەش,أسود,resh
negro,reşek,رەشەك,أسود,reshek
captive,dîl,دیل,أسير,"vebestee, deelkree, grtee"
captive,dîlkrî,دیلکری,أسير,"vebestee, deelkree, grtee"
captive,zîndanî,زیندانی,أسير,zeendanee
captive,vebestî,ڤه‌به‌ستی,أسير,"vebestee, deelkree, grtee"
captive,grtî,گرتی,أسير,"vebestee, deelkree, grtee"
radiate,diçirist,دچرست,أشع,duchurust
set fire,hil kirin,ھل کرن,أشعل النار,ḧul krun
Isaiah,eş'îya,ئەشعییا,أشعياء,esh'eeya
stuff,kel u pelan,کەل و پەلان,أشياء,kel u pelan
refer,amaje kirin,ئاماژه‌ کرن,أشير,"ḧêz, buzuree"
constipate,zik digirtin,زک دگرتن,أصاب المعدة بامساك,zuk dugurtun
become,"dêbite , çêdibît",دێ بیتە ، چێدبیت,أصبح,"dêbute , chêdubeet"
friends in high places,waste,واسته‌‌,أصدقاء في الأماكن المرتفعة,waste
yellow,zer,زەر,أصفر,zer
original,esilî,ئەسلى,أصلي,esulee
original,resen,ڕه‌سه‌ن,أصلي,esulee
deaf,ker,که‌ر,أصم,"ker, guḧulee nabeet"
