Kurdish (Arabic Script),Kurdish (Latin),English
سەر چاڤا,ser çava,On my eyes
سەر سەرێ من,ser serê min,On my head
سلاڤه‌ ل ئه‌یلا خۆ بکه‌,silave li eyla xo bike,Greet your family!
خودێ ژ تە رازی بیت,xudê ji te razî bît,May God be satisfied with you!
خودێ تە ب هێلیت,xudê te bi hêlît,May God keep you!
مە بۆ تە زەحمەت چێکر,me bo te zeḧmet çêkir,We made you difficult! (Thank you)
خێر ژی ببینی,xêr jî bibînî,May you be healthy and happy!
تو ب دلێ خۆی,tu bi dilê xoî,Please yourself (when you want to)
ته‌ خێره‌؟,te xêre?,What's the matter?
سەحەتا تە چەوانە؟,seḧeta te çewane?,How is your health?
تە چ شول نینە؟,te çi şul nîne?,Can I do anything for you?
تو یێ بەرهەڤی؟,tu yê berhevî?,Are you ready?
من شولەکێ ب تە هەی,min şulekê bi te hey,I have a favor to ask of you
من سیند خوار,min sînd xwar,I ate a swear
دلێ من نا چیتێ,dilê min na çîtê,My heart doesn't go
ژ ئەنیسكەكێ ڤە,ji enîskekê ve,From another angle
دلێ من ما پێڤە,dilê min ma pêve,My heart remains with them
دلێ من ڵێ رەش بوو,dilê min lê reş bû,My heart is black from that
دەستێ وی درێژە,destê wî dirêje,His arm is long
ئەزمانێ وی درێژە,ezmanê wî dirêje,His tongue is long
ئەز دەستێت خو دشوم,ez destêt xo di şum,I wash my hands
ئەز سەرێ خو دشوم,ez serê xo di şum,I wash my head
نیشانێن جه‌لتا دلی,Nîşanên celta dilî,Heart attack symptoms
پێخۆشحالم ب نیاسینا تە,pêxoşḧalm bi niyasîna te,nice to meet you
ببورە، تە ژمارەك خەلەت یالێدای,"bibure, te jimarek xelet yalêday","sorry, you have dialed the wrong number."
پا تە دڤێت تو د پاشەرۆژێ دا ببییە چ؟,pa te divêt tu di paşerojê da bibiîye çi?,what do you want to be in the future?
من دڤێت ئەز بمە ماموستایەکێ باش,min divêt ez bime mamustayekê baş,I want to be a good teacher
تو دێ بییە ماموستایەکێ باش,tu dê  bîîye mamustayekê baş,You will be a good teacher
ئەو دێ بییتە ماموستایەکێ باش,ew dê bîîte mamustayekê baş,He will be a good teacher
ئەز دێ بمە ماموستایەکێ باش,ez dê bime mamustayekê baş,I will be a good teacher
من رەیا خۆ بەدل کر,min reya xo bedil kir,I change my mind
چیا داپوشاینە ب بەفرێ,çiya dapuşayine bi befirê,The mountain is covered with snow
بێھنا من ته‌نگە,bêhina min tenge,My breath is tight
بێھنا خو فرەھ كە,bêhina xo fireh ke,Widen your breath
قوتابی سروودا ئەی رەقیب دبێژن,qutabî sirûda eyi reqîb dibêjin,Students sing Kurd Anthem
"ببوره, ئه‌و لاپه‌ر یێ به‌رده‌ست نینه‌","biburh, ew laper yê berdest nîne","Sorry, that page is not available."
هێجەتا نەگرن,hêceta negrin,Don't make excuses
ئەوا نە رەوایە,ewa ne rewaye,It is not legal
نه‌خشه‌ ل سه‌رێ ته‌ به‌,nexşe li serê te be,The same to you
نه‌خشه‌ل مه‌ ژی,nexşel me jî,The same to us
جووتیار زەڤیێ دکێلیت,cûtiyar zeviyê dikêlît,Farmers cultivate the land
پێ نەڤێت داخازا لێبۆرینێ بکەی,pê nevêt daxaza lêborînê bikey,You don't have to apologize
دنیا گرۆڤه‌ره‌,dinya girovere,The earth is round
